=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.03 14:43:01 =~=~=~=~=~=~=~=~=~=~=~=
1985 306 2696 19
1985 306 2695 16
1983 305 2693 6
1985 307 2683 0
1985 308 2686 -3
1983 307 2686 0
1984 307 2696 6
1983 305 2690 9
1984 307 2693 9
1984 307 2695 6
1983 307 2696 3
1984 306 2694 6
1982 305 2692 9
1984 307 2694 9
1984 308 2696 6
1983 307 2693 0
1984 307 2697 3
1982 304 2692 3
1984 307 2687 0
1985 307 2692 0
1984 307 2679 0
1984 306 2690 3
1983 305 2711 3
1984 306 2696 0
1985 308 2694 3
1983 306 2689 3
1984 306 2692 0
1982 305 2694 0
1985 306 2671 -3
1985 308 2697 0
1984 308 2693 3
1984 307 2690 3
1983 304 2694 9
1985 308 2691 9
1985 309 2692 3
1984 306 2688 0
1984 306 2692 0
1983 304 2693 9
1985 307 2694 13
1985 308 2694 9
1985 307 2698 13
1984 306 2692 13
1983 305 2692 16
1984 306 2677 13
1985 309 2693 13
1984 306 2690 13
1985 306 2686 0
1983 304 2692 0
1985 306 2696 3
1985 308 2700 0
1986 307 2693 3
1985 306 2687 13
1984 305 2691 13
1985 307 2696 3
1986 308 2694 3
1985 307 2692 6
1985 306 2696 3
1983 305 2692 0
1985 307 2694 3
1986 308 2696 3
1985 307 2694 3
1985 306 2698 9
1984 303 2686 9
1985 307 2694 6
1986 308 2746 6
1985 307 2697 3
1985 306 2688 3
1985 304 2685 3
1985 307 2693 6
1986 308 2699 9
1986 306 2681 3
1986 306 2692 0
1985 305 2687 0
1986 306 2695 0
1986 309 2690 6
1986 307 2694 9
1986 306 2689 6
1984 305 2692 6
1986 308 2689 3
1986 308 2696 0
1987 307 2692 -3
1987 306 2688 0
1985 305 2696 9
1986 307 2694 13
1987 309 2695 9
1987 307 2698 3
1987 307 2689 3
1985 306 2696 6
1986 308 2691 6
1987 309 2693 0
1987 307 2696 -3
1987 306 2700 0
1985 305 2699 0
1987 307 2696 -3
1987 308 2697 -6
1987 307 2691 3
1987 308 2692 9
1985 305 2682 13
1987 308 2718 9
1987 309 2690 0
1987 308 2687 0
1986 306 2694 3
1985 304 2691 6
1987 308 2693 3
1987 308 2698 0
1987 307 2690 0
1988 306 2686 3
1986 305 2696 6
1987 307 2693 6
1987 309 2692 3
1987 307 2690 3
1988 307 2693 6
1985 305 2696 3
1987 308 2686 6
1988 309 2695 13
1987 307 2694 6
1987 307 2693 0
1986 306 2692 3
1987 308 2693 3
1988 309 2692 3
1987 308 2695 0
1988 307 2686 -3
1986 304 2687 0
1987 308 2679 0
1988 309 2697 3
1988 309 2690 9
1988 308 2694 13
1986 306 2683 9
1988 308 2692 3
1988 309 2690 6
1988 306 2697 6
1988 306 2698 0
1986 306 2696 3
1988 307 2692 6
1989 308 2689 6
1988 308 2689 9
1988 307 2682 6
1986 306 2695 3
1988 307 2692 3
1988 307 2694 6
1989 307 2693 16
1988 307 2696 13
1987 306 2690 9
1988 307 2697 6
1989 309 2694 3
1988 306 2695 6
1989 307 2690 3
1987 306 2666 6
1989 308 2695 9
1989 309 2696 3
1989 308 2693 6
1989 307 2695 9
1987 305 2694 9
1988 308 2686 9
1989 309 2687 9
1988 307 2698 9
1989 307 2695 9
1987 305 2696 9
1989 308 2693 6
1990 309 2698 6
1989 308 2693 3
1989 307 2692 0
1988 305 2691 3
1989 307 2694 3
1989 309 2690 6
1989 308 2686 6
1988 308 2695 0
1987 306 2694 0
1989 308 2693 3
1989 309 2697 3
1988 308 2692 0
1990 307 2724 -3
1988 306 2694 -3
1991 308 2693 0
1990 309 2695 0
1989 307 2694 0
1989 307 2687 0
1988 305 2695 0
1989 308 2694 3
1990 309 2694 3
1990 308 2694 6
1990 307 2693 9
1989 305 2683 0
1989 308 2691 0
1990 309 2691 3
1990 307 2697 3
1990 307 2694 3
1989 306 2692 0
1989 307 2689 0
1990 309 2668 -3
1990 307 2687 0
1990 308 2689 3
1988 306 2692 0
1990 307 2693 0
1991 310 2694 0
1990 309 2696 -3
1991 308 2677 -6
1989 306 2690 0
1990 308 2696 3
1991 309 2690 -3
1990 308 2687 -3
1990 307 2694 0
1990 305 2673 0
1990 308 2691 9
1991 309 2696 13
1990 309 2694 6
1991 308 2690 3
1989 306 2690 0
1990 308 2694 0
1991 309 2695 9
1991 308 2693 16
1991 308 2704 3
1989 306 2690 0
1990 308 2695 6
1991 309 2698 6
1991 308 2693 3
1990 307 2692 0
1990 306 2696 3
1990 308 2685 3
1991 309 2693 3
1991 307 2691 9
1991 308 2694 9
1989 307 2675 0
1990 308 2696 -3
1991 307 2694 3
1991 309 2695 3
1991 309 2689 0
1989 307 2677 0
1991 309 2691 3
1991 311 2696 6
1991 308 2702 3
1991 308 2690 0
1990 305 2693 3
1991 307 2691 3
1992 310 2695 3
1991 309 2694 -1076
1991 309 2699 -2826
1990 307 2689 -2953
1991 310 2693 -2813
1991 311 2691 -2879
1991 309 2743 -2519
1990 308 2693 -3012
1990 306 2693 -2796
1991 308 2712 -2839
1992 309 2697 -2939
1993 308 2692 -2793
1994 309 2695 -2956
1994 307 2699 -2659
1996 312 2689 -2976
1999 312 2694 -2703
2000 312 2691 -2986
2003 312 2702 -2993
2003 312 2692 -2846
2007 314 2703 -2966
2010 317 2693 -2722
2012 315 2693 -2892
2015 315 2697 -2533
2016 317 2683 -2939
2019 317 2693 -2813
2022 319 2676 -2796
2024 319 2690 -2989
2027 320 2673 -2826
2027 318 2690 -2933
2031 321 2685 -2602
2033 322 2688 -3022
2035 323 2683 -2816
2038 324 2682 -2956
2038 322 2654 -3069
2042 326 2671 -2952
2045 327 2678 -3066
2046 327 2675 -2779
2048 327 2673 -3013
2049 326 2667 -2639
2052 329 2653 -2936
